127.0.0.1 - - [17/Apr/2023:11:15:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/index.jsp HTTP/1.1" 200 15529
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/css/style-starter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/css/dropdown.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/css/style-liberty.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/js/theme-change.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/images/on2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/images/one.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/images/online.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/images/poster.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:07 +0530] "GET /e-society/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:08 +0530] "GET /e-society/assets/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:08 +0530] "GET /e-society/assets/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:08 +0530] "GET /e-society/assets/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:08 +0530] "GET /e-society/assets/images/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:15:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:29:33 +0530] "GET /e-society/member-login.jsp HTTP/1.1" 200 10355
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:29:38 +0530] "GET /e-society/member-forget-password.jsp HTTP/1.1" 200 9828
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin-login.jsp HTTP/1.1" 200 5749
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/pie-chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/css/SidebarNav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/css/owl.carousel.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/SidebarNav.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:33:54 +0530] "GET /e-society/admin/assets/images/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "POST /e-society/AdminController HTTP/1.1" 200 39283
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/admin/assets/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/admin/assets/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/amcharts.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/serial.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/export.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/css/export.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/light.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/admin/assets/js/Chart.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/index1.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/admin/assets/js/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/classie.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/scripts.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/jquery.nicescroll.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Apr/2023:11:34:00 +0530] "GET /e-society/js/SidebarNav.min.js HTTP/1.1" 404 789
